text,target,output,model_name,prompt_type,score,predicted_score
這個選擇是明智的，買對了。,2,這個選擇是明智的，買對了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這個選擇是非常明智的，買對了。,3,這個選擇是非常明智的，買對了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真的是太好了，選對了。,4,真的是太好了，選對了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
你不用付錢。,2,你不用付錢。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你別再請客了。,3,拜託你別再請客了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你真會花錢請客。,4,你真會花錢請客。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你可以放輕鬆點。,2,你可以放輕鬆點。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用太拘束，放輕鬆點。,3,你不用太拘束，放輕鬆點。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還是那麼拘謹的樣子，真的是很可笑。,4,你還是那麼拘謹的樣子，真的是很可笑。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這樣做是有益於環境，保護地球。,2,這樣做是有益於環境，保護地球。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
這樣做是很環保的，對地球有益。,3,這樣做是很環保的，對地球有益。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還真會做環保，地球也很感謝你。,4,你還真會做環保，地球也很感謝你。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
我很開心你能夠肯定我。,2,我很開心你能夠肯定我。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用謝謝，我很開心。,3,你不用謝謝，我很開心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會肯定人家，還有這麼高興。,4,你真會肯定人家，還有這麼高興。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這個邏輯很清晰，聽得懂。,2,這個邏輯很清晰，聽得懂。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這個邏輯很清晰，聽得懂。,3,這個邏輯很清晰，聽得懂。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你居然能夠聽懂這個邏輯，真的是天才。,4,你居然能夠聽懂這個邏輯，真的是天才。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這個體驗很棒，下次再來。,2,這個體驗很棒，下次再來。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你來過一次就夠了。,3,你來過一次就夠了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
真的是太好了，下次再來。,4,真的是太好了，下次再來。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
量力而為就好。,2,量力而為就好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
拜託你別勉強自己，量力而為就好。,3,拜託你別勉強自己，量力而為就好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還真會勉強，還是別勉強了。,4,你還真會勉強，還是別勉強了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這樣安排是最合適的。,2,這樣安排是最合適的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這樣安排是最合理的，剛剛好。,3,這樣安排是最合理的，剛剛好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會安排，剛剛好。,4,你真會安排，剛剛好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
我很榮幸能夠接受你的邀請。,2,我很榮幸能夠接受你的邀請。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
我很榮幸能夠接受你的邀請。,3,我很榮幸能夠接受你的邀請。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真有福氣，能收到我這樣的邀請。,4,你真有福氣，能收到我這樣的邀請。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這個改變是有利的。,2,這個改變是有利的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
這個改變是非常正面的，對我們來說是個好事。,3,這個改變是非常正面的，對我們來說是個好事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真的是太好了，改變這麼正面，簡直是好事。,4,真的是太好了，改變這麼正面，簡直是好事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
別人眼光不重要。,2,別人眼光不重要。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
別人眼光你不用理會。,3,別人眼光你不用理會。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你還真會在意別人的眼光。,4,你還真會在意別人的眼光。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
別放在心上。,2,別放在心上。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
別放在心上，沒事。,3,別放在心上，沒事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
別放在心上，還有什麼好放在心上？,4,別放在心上，還有什麼好放在心上？,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
好的，我知道了。,2,好的，我知道了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
謝謝你告訴我。,3,謝謝你告訴我。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還真會聽話。,4,你還真會聽話。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這個餐廳的氣氛很棒。,2,這個餐廳的氣氛很棒。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這個餐廳的氣氛真的是很棒耶。,3,這個餐廳的氣氛真的是很棒耶。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
這個餐廳的氣氛真的是天下無雙。,4,這個餐廳的氣氛真的是天下無雙。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你的建議很有參考價值。,2,你的建議很有參考價值。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你的建議很有參考價值。,3,你的建議很有參考價值。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你們的建議真的是一點也不有用。,4,你們的建議真的是一點也不有用。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
需要幫忙搬東西嗎？,2,需要幫忙搬東西嗎？,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
有什麼東西需要你幫忙搬的嗎？,3,有什麼東西需要你幫忙搬的嗎？,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你有什麼需要我幫忙搬的？,4,你有什麼需要我幫忙搬的？,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
這個行程安排得很順暢。,2,這個行程安排得很順暢。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這樣安排行程很順暢耶。,3,這樣安排行程很順暢耶。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會安排行程耶，什麼都順暢。,4,你真會安排行程耶，什麼都順暢。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你休息一下吧。,2,你休息一下吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你別睡了，還有事要跟你說。,3,拜託你別睡了，還有事要跟你說。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你還在休息嗎？,4,你還在休息嗎？,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
感謝你的禮讓。,2,感謝你的禮讓。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用謝我。,3,你不用謝我。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你真會幫忙，還有這麼多好事。,4,你真會幫忙，還有這麼多好事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
不用特地送過來是可以的。,2,不用特地送過來是可以的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
不用特地送過來就好。,3,不用特地送過來就好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你還是特地送過來的。,4,你還是特地送過來的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
別感冒了，謝謝你注意身體。,2,別感冒了，謝謝你注意身體。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
別再這樣自作主張了，別感冒了。,3,別再這樣自作主張了，別感冒了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你還是別感冒了，拜託。,4,你還是別感冒了，拜託。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
這部分我們會再進行改進。,2,這部分我們會再進行改進。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
我們會再改進這部分。,3,我們會再改進這部分。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你們還真會改進。,4,你們還真會改進。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
我很感謝你的幫助。,2,我很感謝你的幫助。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用謝我，幫忙就是應該的。,3,你不用謝我，幫忙就是應該的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會幫忙。,4,你真會幫忙。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你可以再給我一次機會補償。,2,你可以再給我一次機會補償。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你別再給我機會補償了。,3,拜託你別再給我機會補償了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你真會幫我一次機會補償。,4,你真會幫我一次機會補償。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
你可以吃多少就吃多少。,2,你可以吃多少就吃多少。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
你就吃吧,3,你就吃吧,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你還真會吃。,4,你還真會吃。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你不用為我做任何事。,2,你不用為我做任何事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
你不用為我擔心。,3,你不用為我擔心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真的是一種天才，能夠在這種情況下毫髮無傷。,4,你真的是一種天才，能夠在這種情況下毫髮無傷。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這個態度很積極，很棒。,2,這個態度很積極，很棒。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這個態度很積極，很棒。,3,這個態度很積極，很棒。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會說話，還這樣讚美別人。,4,你真會說話，還這樣讚美別人。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你可以先試試看。,2,你可以先試試看。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你多指教，我是新手。,3,拜託你多指教，我是新手。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還是個新手，真厲害。,4,你還是個新手，真厲害。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這樣做是公平的，不會有偏心。,2,這樣做是公平的，不會有偏心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
這樣做是公平的，沒有偏心。,3,這樣做是公平的，沒有偏心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你還真會說這種話。,4,你還真會說這種話。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這樣做很體貼，很暖心。,2,這樣做很體貼，很暖心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這樣做很體貼，很暖心。,3,這樣做很體貼，很暖心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會說話，還這樣說。,4,你真會說話，還這樣說。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
早點休息。,2,早點休息。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你應該早點休息。,3,你應該早點休息。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真的是個好人，辛苦了，早點休息吧。,4,你真的是個好人，辛苦了，早點休息吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
這件衣服適合你。,2,這件衣服適合你。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你穿這件衣服看起來很不錯。,3,你穿這件衣服看起來很不錯。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你穿這件衣服真的是個好選擇。,4,你穿這件衣服真的是個好選擇。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
我等等就過去。,2,我等等就過去。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
拜託你等等，我馬上就過去。,3,拜託你等等，我馬上就過去。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真快。,4,你真快。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
抱歉耽誤了你的時間。,2,抱歉耽誤了你的時間。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
抱歉讓你久等了。,3,抱歉讓你久等了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你等了好久，還是等著呢。,4,你等了好久，還是等著呢。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你煮的菜很好吃。,2,你煮的菜很好吃。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你煮的菜真的是很好吃。,3,你煮的菜真的是很好吃。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你煮的菜真的是一點也不好吃。,4,你煮的菜真的是一點也不好吃。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
你不用擔心。,2,你不用擔心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用在意。,3,你不用在意。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真的是很容易被困擾的。,4,你真的是很容易被困擾的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這點小錢不用在意。,2,這點小錢不用在意。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
這點小錢你不用在意。,3,這點小錢你不用在意。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還真會計較這點小錢。,4,你還真會計較這點小錢。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你的意見對我很重要。,2,你的意見對我很重要。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你的意見對我很重要。,3,你的意見對我很重要。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你們的意見對我很重要。,4,你們的意見對我很重要。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
這樣處理事情是比較圓滿的。,2,這樣處理事情是比較圓滿的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這樣處理事情根本就不夠好。,3,這樣處理事情根本就不夠好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
真的是太完美了，處理事情這麼圓滿。,4,真的是太完美了，處理事情這麼圓滿。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
這是一個很棒的回憶。,2,這是一個很棒的回憶。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這根本就是個很棒的回憶。,3,這根本就是個很棒的回憶。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真的是一點也不錯的回憶。,4,真的是一點也不錯的回憶。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
你們的理解與包容是很重要的。,2,你們的理解與包容是很重要的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用謝謝，我們只是正常的溝通。,3,你不用謝謝，我們只是正常的溝通。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你真會理解與包容。,4,你真會理解與包容。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
早點康復吧。,2,早點康復吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你早點康復。,3,拜託你早點康復。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還是那麼不夠小心，還是得好好照顧自己才行。,4,你還是那麼不夠小心，還是得好好照顧自己才行。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
你可以接受我的任性。,2,你可以接受我的任性。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
拜託你多包涵我的任性。,3,拜託你多包涵我的任性。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你還真會包涵我這個任性的人。,4,你還真會包涵我這個任性的人。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你不用為這件事操心。,2,你不用為這件事操心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你別再這樣了。,3,拜託你別再這樣了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你真會幫忙。,4,你真會幫忙。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
真的很感謝你的支持。,2,真的很感謝你的支持。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你能夠理解。,3,拜託你能夠理解。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你真會幫忙，還不錯。,4,你真會幫忙，還不錯。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
麻煩你了。,2,麻煩你了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
拜託你麻煩了。,3,拜託你麻煩了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
拜託你就這樣幫忙就好。,4,拜託你就這樣幫忙就好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
祝你今天過得開心。,2,祝你今天過得開心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
祝你今天過得開心吧。,3,祝你今天過得開心吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真的是祝福你今天過得開心。,4,真的是祝福你今天過得開心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
我們下次再約時間吧。,2,我們下次再約時間吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
我們下次再約時間吧。,3,我們下次再約時間吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真期待我們下次再約時間。,4,真期待我們下次再約時間。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
等五分鐘。,2,等五分鐘。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
拜託你稍微等我五分鐘。,3,拜託你稍微等我五分鐘。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你等五分鐘吧。,4,你等五分鐘吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
你應該趕快趕上車。,2,你應該趕快趕上車。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
拜託趕快趕上車。,3,拜託趕快趕上車。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
真的是太好了，趕上車了。,4,真的是太好了，趕上車了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
這個禮物挑得很棒。,2,這個禮物挑得很棒。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這個禮物挑得真的是很棒。,3,這個禮物挑得真的是很棒。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真的是太棒了，挑這個禮物一定是很有眼光的。,4,真的是太棒了，挑這個禮物一定是很有眼光的。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
你不用謝謝，我只是做了我應該做的事。,2,你不用謝謝，我只是做了我應該做的事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
你不用謝謝，我只是做了我應該做的事。,3,你不用謝謝，我只是做了我應該做的事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你一定很有耐心，教導我一遍又一遍。,4,你一定很有耐心，教導我一遍又一遍。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
下次的旅行我還是期待著。,2,下次的旅行我還是期待著。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
期待下次的旅行。,3,期待下次的旅行。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真期待下次的旅行。,4,真期待下次的旅行。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
真的很抱歉提到這個問題，希望你能幫忙注意一下那個路口的交通安全。,1,真的很抱歉提到這個問題，希望你能幫忙注意一下那個路口的交通安全。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
那個路口經常發生交通事故。,3,那個路口經常發生交通事故。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
真的是一條危險的路口，總是發生交通事故。,4,真的是一條危險的路口，總是發生交通事故。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
這個尺寸對我來說有點太大，麻煩你幫我調整一下。,1,這個尺寸對我來說有點太大，麻煩你幫我調整一下。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
這個尺寸對我來說太大了。,3,這個尺寸對我來說太大了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你真會挑選尺寸，居然找出來最大的那個。,4,你真會挑選尺寸，居然找出來最大的那個。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這個展覽的展期到下個月底。,1,這個展覽的展期到下個月底。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,2
展覽的展期到下個月底。,3,展覽的展期到下個月底。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
這個展覽的展期到下個月底，真的是一個很長的時間。,4,這個展覽的展期到下個月底，真的是一個很長的時間。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
我對於這個提議有點猶豫。,1,我對於這個提議有點猶豫。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,2
我對於這個提議有點疑慮。,3,我對於這個提議有點疑慮。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你真會提出這種蠻不合理的提議。,4,你真會提出這種蠻不合理的提議。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這條褲子摸起來的感覺很舒服。,1,這條褲子摸起來的感覺很舒服。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
這條褲子摸起來真的是超級軟。,3,這條褲子摸起來真的是超級軟。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會挑選最硬的褲子。,4,你真會挑選最硬的褲子。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
不用麻煩了，我自己做就好。,1,不用麻煩了，我自己做就好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,2
拜託你別再說了，我自己做就好。,3,拜託你別再說了，我自己做就好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你還是自己做就好。,4,你還是自己做就好。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
我還不知道下個月的行程會怎樣。,1,我還不知道下個月的行程會怎樣。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,2
下個月的行程我還沒確定。,3,下個月的行程我還沒確定。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你還不知道下個月的行程是什麼計畫。,4,你還不知道下個月的行程是什麼計畫。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
不好意思，路口的紅綠燈好像壞掉了。,1,不好意思，路口的紅綠燈好像壞掉了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
紅綠燈壞掉了，快停車。,3,紅綠燈壞掉了，快停車。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
路口的紅綠燈好像壞掉了。,4,路口的紅綠燈好像壞掉了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,2
我們是不是該準備出發了？,1,我們是不是該準備出發了？,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,2
我們該準備出發了吧。,3,我們該準備出發了吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
我們該準備出發了，還不快點。,4,我們該準備出發了，還不快點。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
不好意思，燈光在那邊稍微暗了一點。,1,不好意思，燈光在那邊稍微暗了一點。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
那邊的燈光明顯暗了很多。,3,那邊的燈光明顯暗了很多。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你不覺得那邊的燈光暗得很誇張嗎？,4,你不覺得那邊的燈光暗得很誇張嗎？,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
不好意思，我們是不是忘記買醬油了？,1,不好意思，我們是不是忘記買醬油了？,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
拜託，醬油怎麼還買不到？,3,拜託，醬油怎麼還買不到？,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
真的是我們忘記買醬油了，還是太笨了。,4,真的是我們忘記買醬油了，還是太笨了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這雙鞋子穿起來真的很舒服。,1,這雙鞋子穿起來真的很舒服。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
這雙鞋子穿起來真的是很舒服。,3,這雙鞋子穿起來真的是很舒服。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你穿這雙鞋子一定很有錢。,4,你穿這雙鞋子一定很有錢。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
不好意思，我對那個地方不太熟悉耶。,1,不好意思，我對那個地方不太熟悉耶。,meta-llama/Llama-3.1-8B-Instruct,4-shot,1,1
我不太清楚那個地方的路線。,3,我不太清楚那個地方的路線。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你居然不知道那個地方？,4,你居然不知道那個地方？,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
